nombre_comun,nombre_cientifico,es_aprobado,uso_capturas,uso_mediciones,uso_carnadas,uso_especie_objetivo,uso_total,flag_tipo,similar_a,similitud_pct,flag_cientifico,similar_cientifico,similitud_cientifico_pct
sardona,Pendiente,False,0,0,1,0,1,POSIBLE_DUPLICADO,Sardina,86,DUPLICADO_EXACTO,Pendiente,100
Sarsina,Pendiente,False,0,0,1,0,1,POSIBLE_DUPLICADO,Sardina,86,DUPLICADO_EXACTO,Pendiente,100
ssrdina,Pendiente,False,0,0,1,0,1,DUPLICADO_EXACTO,Ssrdina,100,DUPLICADO_EXACTO,Pendiente,100
Tambor,Pendiente,False,0,1,0,0,1,,,,DUPLICADO_EXACTO,Pendiente,100
Tiburón zorro,Alopias sp.,False,1,0,0,0,1,POSIBLE_DUPLICADO,Tiburón perro,85,,,
Tripa,Pendiente,False,1,0,0,0,1,,,,DUPLICADO_EXACTO,Pendiente,100
Agua Verde,Sardina,False,0,0,0,0,0,,,,DUPLICADO_EXACTO,Sardina,100
Bacoco,Pendiente,False,0,0,0,0,0,DUPLICADO_EXACTO,Bacoco,100,DUPLICADO_EXACTO,Pendiente,100
Baqueta,Hyporthodus acanthistius,False,0,0,0,0,0,DUPLICADO_EXACTO,baqueta,100,,,
Bonita,Thunnus sp,False,0,0,0,0,0,DUPLICADO_EXACTO,bonita,100,DUPLICADO_PROBABLE,Thunnus sp.,95
Bonita -sardina,Pendiente,False,0,0,0,0,0,DUPLICADO_PROBABLE,Bonita-sardina,97,DUPLICADO_EXACTO,Pendiente,100
Bonita 30 sardina 20,Pendiente,False,0,0,0,0,0,POSIBLE_DUPLICADO,Bonita y Sardina,83,DUPLICADO_EXACTO,Pendiente,100
Bonita-sardina,Pendiente,False,0,0,0,0,0,DUPLICADO_PROBABLE,Bonita- sardina,97,DUPLICADO_EXACTO,Pendiente,100
Bonita-sardina-macarela,Pendiente,False,0,0,0,0,0,POSIBLE_DUPLICADO,"Bonita, sardina y macarela",86,DUPLICADO_EXACTO,Pendiente,100
Bonito,caranx caballus,False,0,0,0,0,0,DUPLICADO_EXACTO,bonito,100,DUPLICADO_EXACTO,Caranx caballus,100
Botete,Pendiente,False,0,0,0,0,0,DUPLICADO_EXACTO,Botete,100,DUPLICADO_EXACTO,Pendiente,100
Cabicucho,Atractoscion nobilis,False,0,0,0,0,0,DUPLICADO_EXACTO,Cabicucho,100,,,
